"","Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"1264","El Brocal",2010,"ElBrocal_2010",NA,"MNE","Mining","Extractives and Minerals Processing","Peru","Latin America & the Caribbean",NA,"non-english"
"1265","Eletrobras Eletronorte",2010,"EletrobrasEletronorte_2010",NA,"Large","Energy","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"non-english"
"1266","Eletrobras Furnas",2010,"EletrobrasFurnas_2010",NA,"Large","Energy","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"english"
"1267","Embotelladora Andina",2010,"EmbotelladoraAndina_2010",NA,"Large","Food and Beverage Products","Food and Beverage","Chile","Latin America & the Caribbean",NA,"non-english"
"1268","EMC Corporation",2010,"EMCCorporation_2010",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"non-english"
"1269","Empresa de Acueducto de Bogotá -EAB",2010,"EmpresadeAcueductodeBogotá-EAB_2010",NA,"Large","Water Utilities","Infrastructure","Colombia","Latin America & the Caribbean",NA,"non-english"
"1270","Ence Energía y Celulosa",2010,"EnceEnergíayCelulosa_2010",NA,"Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Spain","Europe",NA,"non-english"
"1271","Engro Polymer & Chemical Limited",2010,"EngroPolymer&ChemicalLimited_2010",NA,"Large","Chemicals","Resource Transformation","Pakistan","Asia",NA,"english"
"1272","EPAL",2010,"EPAL_2010",NA,"Large","Water Utilities","Infrastructure","Portugal","Europe",NA,"non-english"
"1273","Epson (Seiko Epson)",2010,"Epson(SeikoEpson)_2010",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"non-english"
"1274","Ergon Energy",2010,"ErgonEnergy_2010",NA,"Large","Energy Utilities","Infrastructure","Australia","Oceania",NA,"non-english"
"1275","Ericsson",2010,"Ericsson_2010",NA,"Large","Telecommunications","Technology and Communications","Sweden","Europe",NA,"english"
"1276","Ernst Schweizer",2010,"ErnstSchweizer_2010",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"non-english"
"1277","Eskom",2010,"Eskom_2010",NA,"Large","Energy Utilities","Infrastructure","South Africa","Africa",NA,"english"
"1278","ESPEC",2010,"ESPEC_2010",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"1279","Eurochem",2010,"Eurochem_2010",NA,"Large","Chemicals","Resource Transformation","Russian Federation","Europe",NA,"english"
"1280","Euskaltel",2010,"Euskaltel_2010",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"non-english"
"1281","Exclusivas Egara",2010,"ExclusivasEgara_2010",NA,"SME","Food and Beverage Products","Food and Beverage","Spain","Europe",NA,"non-english"
"1282","Exeo",2010,"Exeo_2010",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"1283","Fairmount Santrol",2010,"FairmountSantrol_2010",NA,"Large","Mining","Extractives and Minerals Processing","United States of America","Northern America",NA,"english"
"1284","Fibria",2010,"Fibria_2010",NA,"Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Brazil","Latin America & the Caribbean",NA,"english"
"1285","Findomestic",2010,"Findomestic_2010",NA,"Large","Financial Services","Financials","Italy","Europe",NA,"non-english"
"1286","Fondaction CSN",2010,"FondactionCSN_2010",NA,"SME","Financial Services","Financials","Canada","Northern America",NA,"non-english"
"1287","Forests NSW",2010,"ForestsNSW_2010",NA,"SME","Forest and Paper Products","Renewable Resources & Alternative Energy","Australia","Oceania",NA,"english"
"1288","Framework LLC",2010,"FrameworkLLC_2010",NA,"SME","Other","Other","United States of America","Northern America",NA,"english"
"1289","Freescale",2010,"Freescale_2010",NA,"MNE","Computers","Technology and Communications","United States of America","Northern America",NA,"english"
"1290","Fujifilm (China)",2010,"Fujifilm(China)_2010",NA,"Large","Chemicals","Resource Transformation","Mainland China","Asia",NA,"non-english"
"1291","FUJIFILM Holdings Corporation",2010,"FUJIFILMHoldingsCorporation_2010",NA,"Large","Conglomerates","Conglomerates","Japan","Asia",NA,"non-english"
"1292","Galp Energia",2010,"GalpEnergia_2010",NA,"Large","Energy","Extractives and Minerals Processing","Portugal","Europe",NA,"non-english"
"1293","Gas Natural Colombia",2010,"GasNaturalColombia_2010",NA,"Large","Energy","Extractives and Minerals Processing","Colombia","Latin America & the Caribbean",NA,"non-english"
"1294","Gas Natural Fenosa Argentina",2010,"GasNaturalFenosaArgentina_2010",NA,"MNE","Energy","Extractives and Minerals Processing","Argentina","Latin America & the Caribbean",NA,"non-english"
"1295","Gas Natural SDG",2010,"GasNaturalSDG_2010",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"1296","Gazprom",2010,"Gazprom_2010",NA,"Large","Energy","Extractives and Minerals Processing","Russian Federation","Europe",NA,"english"
"1297","Gazprom Neft",2010,"GazpromNeft_2010",NA,"Large","Energy","Extractives and Minerals Processing","Russian Federation","Europe",NA,"english"
"1298","GD Power Development",2010,"GDPowerDevelopment_2010",NA,"Large","Energy Utilities","Infrastructure","Mainland China","Asia",NA,"non-english"
"1299","GDF Suez",2010,"GDFSuez_2010",NA,"Large","Energy Utilities","Infrastructure","France","Europe",NA,"english"
"1300","Genentech",2010,"Genentech_2010",NA,"MNE","Healthcare Products","Healthcare","United States of America","Northern America",NA,"english"
"1301","Gold Coast City Council",2010,"GoldCoastCityCouncil_2010",NA,"Large","Public Agency","Services","Australia","Oceania",NA,"english"
"1302","Goldman Sachs",2010,"GoldmanSachs_2010",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"1303","GPA (Grupo Pão de Açúcar)",2010,"GPA(GrupoPãodeAçúcar)_2010",NA,"Large","Other","Other","Brazil","Latin America & the Caribbean",NA,"non-english"
"1304","Greencore",2010,"Greencore_2010",NA,"MNE","Food and Beverage Products","Food and Beverage","Ireland","Europe",NA,"english"
"1305","Grieg Star",2010,"GriegStar_2010",NA,"Large","Logistics","Transportation","Norway","Europe",NA,"english"
"1306","Grindrod",2010,"Grindrod_2010",NA,"Large","Logistics","Transportation","South Africa","Africa",NA,"english"
"1307","Group Five",2010,"GroupFive_2010",NA,"Large","Construction Materials","Extractives and Minerals Processing","South Africa","Africa",NA,"english"
"1308","Groupe Casino",2010,"GroupeCasino_2010",NA,"MNE","Retailers","Consumer Goods","France","Europe",NA,"non-english"
"1309","Groupe Seb",2010,"GroupeSeb_2010",NA,"Large","Household and Personal Products","Consumer Goods","France","Europe",NA,"non-english"
